epoch,PSNR,loss,lr,val_PSNR,val_loss
0,-132.794677734375,4.894150057673809e+24,0.1,17.767431259155273,9.51047134399414
1,20.882192611694336,11.146549224853516,0.1,24.858966827392578,11.879279136657715
2,27.18390464782715,11.928257942199707,0.1,28.79954719543457,11.910725593566895
3,29.638105392456055,11.855498313903809,0.1,30.125823974609375,11.791861534118652
4,30.24303436279297,11.731188774108887,0.1,30.422266006469727,11.665531158447266
5,30.372114181518555,11.60516357421875,0.1,30.488590240478516,11.540050506591797
6,30.389217376708984,11.480315208435059,0.1,30.512975692749023,11.4158935546875
7,30.39687728881836,11.35680103302002,0.1,30.521846771240234,11.293069839477539
8,30.393173217773438,11.234614372253418,0.1,30.524415969848633,11.171568870544434
9,30.39350700378418,11.113744735717773,0.1,30.52507781982422,11.051375389099121
10,30.393648147583008,10.994175910949707,0.1,30.52524757385254,10.932476043701172
11,30.393695831298828,10.875892639160156,0.1,30.525279998779297,10.814854621887207
12,30.39371681213379,10.758881568908691,0.1,30.525279998779297,10.698500633239746
13,30.393709182739258,10.643132209777832,0.1,30.525279998779297,10.583398818969727
14,30.39371681213379,10.528627395629883,0.1,30.52527618408203,10.469535827636719
15,30.393709182739258,10.415355682373047,0.1,30.52527618408203,10.35689640045166
16,30.393709182739258,10.303301811218262,0.1,30.52527618408203,10.24547004699707
17,30.393718719482422,10.19245433807373,0.1,30.525279998779297,10.135245323181152
18,30.39371681213379,10.082799911499023,0.1,30.525279998779297,10.026203155517578
19,30.39371681213379,9.974326133728027,0.1,30.525279998779297,9.918336868286133
20,30.347394943237305,9.89239501953125,0.01,30.5745792388916,9.87735652923584
21,30.484657287597656,9.871159553527832,0.01,30.51780891418457,9.864936828613281
22,30.40639877319336,9.859894752502441,0.01,30.53028106689453,9.85418701171875
23,30.41057586669922,9.849218368530273,0.01,30.526546478271484,9.843546867370605
24,30.410438537597656,9.83858585357666,0.01,30.52724838256836,9.83292293548584
25,30.410194396972656,9.827966690063477,0.01,30.527177810668945,9.822311401367188
26,30.410301208496094,9.817359924316406,0.01,30.527177810668945,9.811711311340332
27,30.4102725982666,9.806766510009766,0.01,30.527177810668945,9.801121711730957
28,30.4102725982666,9.796181678771973,0.01,30.527177810668945,9.790543556213379
29,30.4102725982666,9.78561019897461,0.01,30.527177810668945,9.779976844787598
30,30.4102725982666,9.775049209594727,0.01,30.527177810668945,9.76942253112793
31,30.4102725982666,9.764500617980957,0.01,30.527179718017578,9.758878707885742
32,30.4102725982666,9.753961563110352,0.01,30.527177810668945,9.748347282409668
33,30.4102725982666,9.74343490600586,0.01,30.52717399597168,9.737826347351074
34,30.4102725982666,9.732918739318848,0.01,30.527177810668945,9.727316856384277
35,30.4102725982666,9.722415924072266,0.01,30.527177810668945,9.716818809509277
36,30.4102725982666,9.71192455291748,0.01,30.527177810668945,9.70633316040039
37,30.4102725982666,9.701441764831543,0.01,30.527177810668945,9.695857048034668
38,30.4102725982666,9.690972328186035,0.01,30.527177810668945,9.685393333435059
39,30.4102725982666,9.680513381958008,0.01,30.527177810668945,9.67494010925293
40,30.40206527709961,9.672551155090332,0.0009999999,30.52322006225586,9.670944213867188
41,30.40269660949707,9.670477867126465,0.0009999999,30.52527618408203,9.669729232788086
42,30.405607223510742,9.669373512268066,0.0009999999,30.526824951171875,9.668675422668457
43,30.40741729736328,9.668327331542969,0.0009999999,30.52764320373535,9.667631149291992
44,30.408349990844727,9.667283058166504,0.0009999999,30.528074264526367,9.666586875915527
45,30.408815383911133,9.666239738464355,0.0009999999,30.528291702270508,9.665543556213379
46,30.409040451049805,9.66519546508789,0.0009999999,30.528366088867188,9.66450023651123
47,30.40913963317871,9.664153099060059,0.0009999999,30.52843475341797,9.663455963134766
48,30.40920639038086,9.66310977935791,0.0009999999,30.528438568115234,9.662413597106934
49,30.409221649169922,9.662065505981445,0.0009999999,30.528470993041992,9.661370277404785
50,30.40923500061035,9.661022186279297,0.0009999999,30.528470993041992,9.660327911376953
51,30.409250259399414,9.659979820251465,0.0009999999,30.528472900390625,9.659284591674805
52,30.409252166748047,9.658936500549316,0.0009999999,30.528472900390625,9.65824031829834
53,30.409255981445312,9.657894134521484,0.0009999999,30.52847671508789,9.65719985961914
54,30.409255981445312,9.656852722167969,0.0009999999,30.528472900390625,9.656157493591309
55,30.409255981445312,9.65580940246582,0.0009999999,30.528472900390625,9.65511417388916
56,30.409255981445312,9.654767036437988,0.0009999999,30.528470993041992,9.654071807861328
57,30.409255981445312,9.653724670410156,0.0009999999,30.52847671508789,9.653029441833496
58,30.409255981445312,9.652681350708008,0.0009999999,30.528472900390625,9.651988983154297
59,30.409255981445312,9.651640892028809,0.0009999999,30.528472900390625,9.650945663452148
60,30.408370971679688,9.650848388671875,9.999999e-05,30.527820587158203,9.650547981262207
61,30.4080810546875,9.650639533996582,9.999999e-05,30.527816772460938,9.650425910949707
62,30.40812110900879,9.650529861450195,9.999999e-05,30.527854919433594,9.650321006774902
63,30.408172607421875,9.650425910949707,9.999999e-05,30.527894973754883,9.650216102600098
64,30.40822982788086,9.650322914123535,9.999999e-05,30.527929306030273,9.650115013122559
65,30.408279418945312,9.65021800994873,9.999999e-05,30.527963638305664,9.650010108947754
66,30.40833282470703,9.650115966796875,9.999999e-05,30.52800178527832,9.649906158447266
67,30.408363342285156,9.650012016296387,9.999999e-05,30.528034210205078,9.649803161621094
68,30.40841293334961,9.649909019470215,9.999999e-05,30.528038024902344,9.649700164794922
69,30.408451080322266,9.64980411529541,9.999999e-05,30.528074264526367,9.649596214294434
70,30.40849494934082,9.649701118469238,9.999999e-05,30.528108596801758,9.649492263793945
71,30.408525466918945,9.64959716796875,9.999999e-05,30.528108596801758,9.64939022064209
72,30.408567428588867,9.649494171142578,9.999999e-05,30.52814483642578,9.649285316467285
73,30.40860366821289,9.649391174316406,9.999999e-05,30.52818489074707,9.649181365966797
74,30.408632278442383,9.649286270141602,9.999999e-05,30.528182983398438,9.649078369140625
75,30.408660888671875,9.64918327331543,9.999999e-05,30.528217315673828,9.648975372314453
76,30.40869140625,9.649080276489258,9.999999e-05,30.528217315673828,9.648871421813965
77,30.408720016479492,9.64897632598877,9.999999e-05,30.52825355529785,9.648768424987793
78,30.40874481201172,9.648872375488281,9.999999e-05,30.52825355529785,9.648664474487305
79,30.408769607543945,9.648768424987793,9.999999e-05,30.52825355529785,9.648561477661133
80,30.40869140625,9.648689270019531,9.999999e-06,30.528217315673828,9.64852237701416
81,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.64852237701416
82,30.408681869506836,9.648675918579102,9.999999e-06,30.52821922302246,9.64852237701416
83,30.408681869506836,9.648675918579102,9.999999e-06,30.52821922302246,9.648521423339844
84,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.64852237701416
85,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.648521423339844
86,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.64852237701416
87,30.408681869506836,9.648675918579102,9.999999e-06,30.528213500976562,9.64852237701416
88,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.64852237701416
89,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.64852237701416
90,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.64852237701416
91,30.408681869506836,9.648675918579102,9.999999e-06,30.52821922302246,9.64852237701416
92,30.408681869506836,9.648675918579102,9.999999e-06,30.52821922302246,9.648521423339844
93,30.408681869506836,9.648675918579102,9.999999e-06,30.52821922302246,9.64852237701416
94,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.648521423339844
95,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.64852237701416
96,30.408681869506836,9.648675918579102,9.999999e-06,30.528217315673828,9.64852237701416
97,30.40869903564453,9.648675918579102,9.999999e-06,30.52821922302246,9.64852237701416
98,30.40871238708496,9.648675918579102,9.999999e-06,30.528217315673828,9.64852237701416
99,30.408723831176758,9.648675918579102,9.999999e-06,30.52825355529785,9.64852237701416
